ARTICLE_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,PUBLISH_DATE,VIEWS_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,BLOG_POST_SENTIMENT
352809152572,TWEET FROM: JAI_SHIVEN,JAI_SHIVEN,John Kerry slams attacks on civilians in Bangladesh - FacenFacts https://t.co/RrEhAJbKkZ,http://twitter.com/jai_shiven/statuses/568722428806848512,TWITTER,Feb 20 2015 10:42 AM,124124,524,291,8,593,3,1,29741,29482,114289,Positive
352807174770,TWEET FROM: MOTORCYCLENAZI,MOTORCYCLENAZI,".@ShridharR ""The axe forgets. The tree remembers."" Brilliant. Abso-deep-lutely brilliant.",http://twitter.com/MotorcycleNazi/statuses/568720074472710145,TWITTER,Feb 20 2015 10:33 AM,21343829,332,282,2,663,0,0,45645,29535,2296,Positive
352806889043,TWEET FROM: SUPERFUNKIE,SUPERFUNKIE,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/superfunkie/statuses/568719776962326528,TWITTER,Feb 20 2015 10:32 AM,12261780,583,255,4,552,3,11,35615,30484,16646,Neutral
352806737477,TWEET FROM: THETECHMORON,THETECHMORON,BT Sport pundit Stan Collymore reveals axe after Twitter row with Rangers fans http://t.co/NhBjJxONbP #twitter #social,http://twitter.com/TheTechMoron/statuses/568719580060737536,TWITTER,Feb 20 2015 10:31 AM,4842880,435,204,4,768,5,13,93738,40827,17452,Neutral
352806470845,TWEET FROM: THEQTIYAPAGUY,THEQTIYAPAGUY,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/TheQtiyapaGuy/statuses/568719304058732544,TWITTER,Feb 20 2015 10:30 AM,14837120,483,252,10,576,2,14,75844,22013,2049,Positive
352803835226,TWEET FROM: VIPYA4846,VIPYA4846,"If a girl follows a boy while he is walking, then it's ""AXE EFFECT""; But if a boy follows a girl while she is... http://t.co/ofrZxDmmuT",http://twitter.com/vipya4846/statuses/568716101019938816,TWITTER,Feb 20 2015 10:17 AM,17679497,751,244,4,726,2,12,20457,24658,407,Positive
352801960260,TWEET FROM: MOVIEMASTIE,MOVIEMASTIE,Axe forgets But Tree Remember,http://twitter.com/moviemastie/statuses/568713921089179648,TWITTER,Feb 20 2015 10:08 AM,3580898,653,210,6,799,3,1,35376,17759,825,Positive
352799721717,TWEET FROM: CAKRPRASANNA,CAKRPRASANNA,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/cakrprasanna/statuses/568711313569873920,TWITTER,Feb 20 2015 09:58 AM,16735740,629,253,5,749,5,12,40822,30270,4181,Neutral
352796679997,TWEET FROM: PRANKS013,PRANKS013,"The axe forgets, the tree remembers; Intense! #Badlapur  Great performance! @Varun_dvn @Nawazuddin_S @humasqureshi @radhika_apte",http://twitter.com/pranks013/statuses/568707582979739648,TWITTER,Feb 20 2015 09:43 AM,14315996,775,209,9,652,0,2,93103,6291,185,Neutral
352796158545,TWEET FROM: PRANKS013,PRANKS013,"An axe forgets, but the tree remembers; Intense! #Badlapur  Great performance @Varun_dvn @Nawazuddin_S @humasqureshi @radhika_apte",http://twitter.com/pranks013/statuses/568706866169057281,TWITTER,Feb 20 2015 09:40 AM,15826936,467,161,9,899,2,5,1302,4407,185,Negative
352795361193,TWEET FROM: KREATIVEGEEK,KREATIVEGEEK,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/KreativeGeek/statuses/568705927026577408,TWITTER,Feb 20 2015 09:37 AM,9420623,382,158,2,509,5,11,43119,29036,8286,Positive
352795046897,TWEET FROM: YOYORAJ7,YOYORAJ7,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/YOYORAJ7/statuses/568705518857883650,TWITTER,Feb 20 2015 09:35 AM,18225472,669,212,4,818,4,12,91755,38989,22019,Negative
352792754706,TWEET FROM: RAKPANDITA,RAKPANDITA,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/rakpandita/statuses/568702701199958016,TWITTER,Feb 20 2015 09:24 AM,7512610,425,241,4,821,3,8,7408,15949,3426,Neutral
352792573054,TWEET FROM: IANUPAMAKOHLI,IANUPAMAKOHLI,"RT @VivekSanthosh Badlapur (2015) [Hindi] Rating - 8.5/10  ""'The axe forgets; the tree remembers.""  Vengeance is an extremely... http://t.co/ROhnXg5BCV",http://twitter.com/iAnupamaKohli/statuses/568702431015477248,TWITTER,Feb 20 2015 09:23 AM,16736746,619,230,10,659,4,9,54083,11694,11187,Positive
352792396176,TWEET FROM: KINGPTD,KINGPTD,"RT @VivekSanthosh Badlapur (2015) [Hindi] Rating - 8.5/10  ""'The axe forgets; the tree remembers.""  Vengeance is an extremely... http://t.co/ROhnXg5BCV",http://twitter.com/kingptd/statuses/568702179927834624,TWITTER,Feb 20 2015 09:22 AM,10210900,740,217,8,933,2,10,66561,25976,90754,Positive
352790733931,TWEET FROM: RISKIEST_POISON,RISKIEST_POISON,RT @kinjealous There is a thick line between 'AXE' effect & 'EX' effect..,http://twitter.com/Riskiest_Poison/statuses/568700223616389120,TWITTER,Feb 20 2015 09:14 AM,23267503,565,213,5,752,4,1,32014,41132,606,Neutral
352790614055,TWEET FROM: KINJEALOUS,KINJEALOUS,There is a thick line between 'AXE' effect & 'EX' effect..,http://twitter.com/kinjealous/statuses/568699610035658753,TWITTER,Feb 20 2015 09:12 AM,3149531,708,156,9,890,1,11,52358,26884,253,Positive
352790147549,TWEET FROM: KAPILDSHARMA,KAPILDSHARMA,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/kapildsharma/statuses/568699518708903936,TWITTER,Feb 20 2015 09:11 AM,20517179,333,280,8,786,1,5,92787,36867,10839,Positive
352789378273,TWEET FROM: MAHALIKESME,MAHALIKESME,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/mahalikesme/statuses/568698579826515968,TWITTER,Feb 20 2015 09:08 AM,23998755,419,274,9,587,3,8,67668,33355,5157,Neutral
352788983335,TWEET FROM: PREETAMKS,PREETAMKS,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/preetamks/statuses/568698113562710016,TWITTER,Feb 20 2015 09:06 AM,13388442,733,259,5,962,0,6,9053,18327,22726,Positive
352788077516,TWEET FROM: RAJIVEBATRA,RAJIVEBATRA,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/rajivebatra/statuses/568696886468612097,TWITTER,Feb 20 2015 09:01 AM,2349410,787,265,7,989,3,2,68555,36320,3395,Negative
352786903686,TWEET FROM: SUSTISAILOR,SUSTISAILOR,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/SustiSailor/statuses/568695541426573312,TWITTER,Feb 20 2015 08:55 AM,3162997,697,157,6,683,1,15,62632,28293,7059,Negative
352786894158,TWEET FROM: IIFL_LIVE,IIFL_LIVE,Royalty on Software: Tax effect or Axe effect. http://t.co/SJDMoz2reQ #News,http://twitter.com/IIFL_Live/statuses/568695521960992768,TWITTER,Feb 20 2015 08:55 AM,23448053,611,285,4,690,2,3,14489,3298,59178,Positive
352786510573,TWEET FROM: IMNIKHILSONI,IMNIKHILSONI,"#BADLAPURthisFRIDAY ""the axe forgets but the tree remembers""@Varun_dvn n @Nawazuddin_S #BestActing #AwesomeFilm",http://twitter.com/ImNikhilSoni/statuses/568694976198021120,TWITTER,Feb 20 2015 08:53 AM,20709562,637,266,1,688,1,3,79150,26729,17,Neutral
352786397242,TWEET FROM: AVI31,AVI31,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/avi31/statuses/568694804877422592,TWITTER,Feb 20 2015 08:53 AM,18826185,565,199,4,562,0,5,76755,26381,3531,Neutral
352785578041,TWEET FROM: IMNIKHILSONI,IMNIKHILSONI,"#BADLAPURthisFRIDAY ""the axe forgets but the tree remembers""@Varun_dvn n@Nawazuddin_S #BestFlim #AwesomeFilm",http://twitter.com/ImNikhilSoni/statuses/568693769500889088,TWITTER,Feb 20 2015 08:48 AM,6834405,683,199,6,631,4,10,79849,13788,17,Positive
352785260269,TWEET FROM: SITAPURKANAWAB,SITAPURKANAWAB,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/sitapurkanawab/statuses/568693393032761344,TWITTER,Feb 20 2015 08:47 AM,22132082,374,210,8,671,1,6,8753,10593,155,Neutral
352785019747,TWEET FROM: FUNKYLADKI,FUNKYLADKI,"@MyNykaa the birdman- No Its the ""Axe-man"" #MakeupMovieMashup",http://twitter.com/FunkyLadki/statuses/568693088220086272,TWITTER,Feb 20 2015 08:46 AM,15637515,359,187,2,706,3,5,36638,4411,43676,Neutral
352784857400,TWEET FROM: BABS8060,BABS8060,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/babs8060/statuses/568692889552687104,TWITTER,Feb 20 2015 08:45 AM,15520380,349,231,1,900,2,4,30991,19825,3137,Negative
352784276938,TWEET FROM: ADU_VIEWS,ADU_VIEWS,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/ADU_views/statuses/568692206527070208,TWITTER,Feb 20 2015 08:42 AM,18310813,775,258,2,939,2,3,44622,26357,3361,Negative
352784491254,TWEET FROM: GOPALBALAJI,GOPALBALAJI,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/gopalbalaji/statuses/568692065124511744,TWITTER,Feb 20 2015 08:42 AM,9504879,483,199,1,678,4,10,82369,37045,31189,Negative
352784154455,TWEET FROM: MJRAJPUT,MJRAJPUT,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/mjrajput/statuses/568692035902779393,TWITTER,Feb 20 2015 08:42 AM,17444272,790,236,8,890,2,10,28255,14039,12020,Negative
352782861438,TWEET FROM: SUMITRANA1,SUMITRANA1,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/sumitrana1/statuses/568690347225653249,TWITTER,Feb 20 2015 08:35 AM,21646940,517,248,2,973,4,15,96267,8819,81336,Neutral
352782321854,TWEET FROM: RAHULGOHEL,RAHULGOHEL,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/rahulgohel/statuses/568689700501737473,TWITTER,Feb 20 2015 08:32 AM,12897398,738,293,9,521,3,6,75068,40350,5192,Neutral
352781833478,TWEET FROM: RUPRADEEPRATHI,RUPRADEEPRATHI,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/Rupradeeprathi/statuses/568689131607322625,TWITTER,Feb 20 2015 08:30 AM,15325794,576,184,8,769,1,14,65945,19727,8370,Positive
